order_id,product_id,customer_id,price,order_date,shipping_date,quantity,payment_method_id,country_id,discount_amount
1274704,140937,294697,44.17,2024-04-06,2024-04-12,1,2,2,6.03
3370834,363028,282644,42.23,2024-01-28,2024-01-29,1,3,7,2.58
7717667,938521,238110,51.54,2024-01-19,2024-01-20,1,3,2,7.03
9689810,313802,291881,31.91,2024-01-21,2024-01-27,2,1,2,4.21
1270434,924197,204496,53.64,2024-01-18,2024-01-21,1,2,2,0.37
9391067,381632,239069,23.5,2025-04-20,2025-04-22,1,3,3,8.5
4843829,328815,229061,21.84,2024-05-25,2024-05-27,1,5,7,7.2
6039619,176588,274755,24.24,2024-03-20,2024-03-22,1,3,4,4.02
9671510,313802,259280,24.44,2024-03-06,2024-03-12,1,2,2,4.52
4902067,176588,202813,43.16,2024-09-23,2024-09-24,1,1,3,5.15
8501817,381632,252777,34.66,2024-05-14,2024-05-20,1,4,6,6.49
1668233,492904,224261,21.15,2024-03-04,2024-03-10,1,3,3,8.92
2032294,176588,247937,24.73,2024-04-23,2024-04-28,1,5,5,0.05
6697014,512461,210634,15.35,2024-10-07,2024-10-08,1,2,7,8.14
7512353,381632,204496,32.5,2024-02-15,2024-02-20,2,4,5,3.32
4652424,547239,207510,26.02,2024-12-20,2024-12-24,2,5,3,8.85
7955968,313802,276867,35.27,2024-02-26,2024-02-27,1,3,5,9.62
2898065,381632,282457,15.87,2024-01-06,2024-01-07,1,2,7,8.34
3612592,547239,203668,16.34,2024-01-08,2024-01-09,3,2,1,8.7
2411274,512461,216052,21.76,2024-02-21,2024-02-23,1,4,4,2.02
5072367,924197,285748,67.17,2024-07-27,2024-07-29,2,3,4,3.11
8163426,381632,290526,24.21,2024-12-19,2024-12-24,1,1,2,0.99
9226910,381632,239462,18.01,2024-02-23,2024-02-28,1,5,7,5.3
2996258,313802,208154,31.24,2024-10-23,2024-10-24,1,4,7,9.01
1121973,360610,211968,55.37,2024-02-10,2024-02-15,3,4,3,8.04
8422359,492904,247144,27.99,2024-04-11,2024-04-13,1,2,2,4.33
6194619,938521,283403,55.68,2024-01-25,2024-01-31,2,4,4,3.74
5227157,176588,237695,25.48,2024-01-26,2024-02-01,1,2,1,6.0
2574341,674253,286878,26.63,2024-04-17,2024-04-23,1,1,5,1.76
6205242,512461,201742,26.26,2024-05-05,2024-05-10,1,5,1,4.66
7820221,547239,228205,28.25,2024-02-29,2024-03-04,2,3,6,9.43
1364136,307937,227491,66.7,2024-08-29,2024-08-31,3,1,1,2.05
8596780,328815,225542,15.88,2024-02-05,2024-02-09,2,2,6,3.36
1014329,938521,238675,30.69,2024-07-03,2024-07-08,3,5,7,3.24
9976675,492904,287645,17.71,2024-10-04,2024-10-07,1,3,7,4.0
2031369,492904,230485,15.55,2024-01-07,2024-01-14,3,5,7,2.59
5479042,360610,263489,55.82,2024-09-05,2024-09-12,2,5,3,3.3
1126221,328815,202813,17.58,2024-01-12,2024-01-13,1,5,7,2.81
7541827,924197,264295,51.87,2024-03-18,2024-03-25,2,1,3,9.85
9730125,363028,256039,61.51,2024-01-13,2024-01-20,1,2,1,5.34
8639359,674253,208730,42.4,2024-01-22,2024-01-24,3,4,6,4.77
5110936,562958,275183,25.72,2024-03-27,2024-04-02,1,4,3,7.68
4229161,313802,232013,26.32,2024-01-01,2024-01-05,1,5,2,4.3
6575988,360610,202449,78.65,2024-04-19,2024-04-22,2,3,7,4.16
9934791,140937,231197,79.56,2024-05-09,2024-05-12,1,1,2,9.15
2029894,381632,229645,32.81,2024-12-19,2024-12-21,3,1,5,2.72
7581882,140937,255252,63.7,2024-04-01,2024-04-03,1,1,3,1.79
9604492,363028,219865,40.22,2024-02-24,2024-03-02,2,1,2,3.05
3680655,938521,273322,59.65,2024-03-16,2024-03-19,1,5,5,8.9
5168569,363028,295533,37.64,2024-06-04,2024-06-05,1,1,1,0.59
1270904,360610,277531,64.03,2024-01-02,2024-01-03,1,4,3,9.92
8956277,140937,258712,55.37,2024-01-22,2024-01-26,1,3,7,7.33
2471771,492904,246126,28.29,2024-03-22,2024-03-23,1,5,4,7.49
7333932,363028,289423,51.86,2024-01-09,2024-01-12,1,4,7,8.34
8243540,363028,227165,84.8,2024-02-20,2024-02-27,1,4,5,4.58
4533470,176588,220428,29.65,2024-02-20,2024-02-23,2,4,1,4.04
1438339,363028,237699,69.63,2024-04-27,2024-05-02,3,4,4,5.01
9541985,924197,252962,63.83,2024-02-19,2024-02-22,1,2,7,9.66
6554661,313802,244683,25.73,2024-03-08,2024-03-15,1,5,5,4.44
5351914,360610,200264,52.17,2024-05-21,2024-05-22,1,4,7,6.43
1677014,381632,214129,24.78,2024-01-04,2024-01-10,1,2,1,7.03
2752065,176588,281695,38.95,2024-08-10,2024-08-14,1,2,4,0.95
1052798,313802,279145,20.59,2024-05-01,2024-05-06,1,4,2,1.21
1236364,547239,215237,31.86,2024-01-16,2024-01-17,1,4,5,0.4
9039755,176588,200078,29.57,2024-02-25,2024-02-29,1,1,3,1.75
4112179,674253,288619,32.63,2024-06-30,2024-07-01,1,4,6,4.04
8029257,307937,202368,74.65,2024-02-09,2024-02-14,2,1,3,8.4
4356023,492904,290586,17.26,2024-05-19,2024-05-22,1,3,2,3.59
5204535,140937,261859,79.26,2024-01-23,2024-01-30,1,4,6,0.73
6416819,547239,233260,26.95,2024-01-05,2024-01-11,3,4,5,0.37
1571154,674253,261827,54.72,2024-02-27,2024-03-03,1,5,1,1.91
6122767,307937,274632,46.34,2024-02-10,2024-02-17,1,2,7,3.38
7623143,547239,211763,29.78,2024-10-09,2024-10-12,1,4,4,8.11
6645819,328815,241244,33.03,2025-02-23,2025-02-28,1,5,5,0.17
5729784,360610,252777,59.28,2024-03-31,2024-04-02,2,1,3,4.17
5604137,363028,213132,85.77,2024-10-21,2024-10-27,1,4,3,7.26
6670318,381632,207455,28.54,2024-01-06,2024-01-07,1,4,4,2.31
9791221,307937,276009,36.38,2024-01-20,2024-01-21,1,1,5,5.18
9571070,307937,263105,44.59,2024-10-23,2024-10-29,1,2,5,4.91
9250172,512461,258012,23.13,2024-02-01,2024-02-03,1,3,7,5.79
9450872,674253,223616,29.42,2024-03-27,2024-04-03,2,5,2,0.25
9905878,562958,217004,28.47,2024-01-17,2024-01-20,1,4,6,1.62
6195554,924197,203451,48.93,2024-04-09,2024-04-10,1,1,5,7.07
7558310,176588,200776,36.54,2024-03-22,2024-03-29,2,1,7,8.42
9084857,140937,238698,58.9,2024-03-26,2024-03-28,1,2,3,0.91
2414535,562958,299267,20.15,2024-05-06,2024-05-13,2,4,7,7.65
5024741,924197,294096,55.94,2024-02-24,2024-02-25,1,4,6,2.49
5089828,381632,247648,24.11,2024-05-01,2024-05-05,3,4,3,0.68
5679535,328815,270152,33.68,2024-12-11,2024-12-14,1,4,7,8.67
3760313,924197,289005,79.77,2024-11-05,2024-11-09,1,4,7,8.39
4935327,328815,231609,26.3,2024-01-12,2024-01-18,1,1,5,7.65
5384845,562958,292172,16.64,2024-08-30,2024-09-06,1,1,2,8.77
4768565,547239,248989,19.76,2024-02-03,2024-02-06,3,2,7,1.26
7055958,492904,282685,16.0,2024-06-29,2024-07-01,1,3,2,0.7
5023908,938521,291130,66.7,2024-01-30,2024-02-02,2,4,1,1.52
7433264,140937,280592,83.33,2024-03-01,2024-03-04,2,5,4,6.94
3425351,363028,298179,83.84,2024-02-13,2024-02-15,1,2,3,4.15
4552052,360610,254070,39.5,2024-02-10,2024-02-16,1,3,1,4.9
8658539,363028,289374,66.78,2024-06-06,2024-06-09,3,1,5,8.08
4390012,140937,281468,44.46,2024-03-14,2024-03-20,1,5,4,3.03
8680735,562958,223846,30.21,2024-07-27,2024-08-02,1,2,4,2.34
1825406,307937,276295,42.04,2024-04-01,2024-04-07,1,2,4,4.44
9979303,140937,256039,53.3,2024-03-31,2024-04-01,1,1,6,3.92
8089591,938521,282727,58.21,2024-06-25,2024-06-30,1,2,4,4.38
1478870,360610,252655,70.6,2026-04-12,2026-04-18,1,2,2,1.23
6488693,938521,289483,52.79,2024-01-08,2024-01-10,1,5,1,7.19
7622311,360610,249177,51.57,2024-11-12,2024-11-17,3,4,7,9.98
3810568,924197,221272,81.76,2024-01-10,2024-01-16,1,4,4,5.88
7170250,924197,246797,48.06,2024-01-21,2024-01-23,1,1,2,8.54
6855432,924197,203668,38.18,2024-03-26,2024-03-28,1,1,4,6.5
9623222,307937,287869,38.11,2024-06-06,2024-06-10,1,3,3,5.56
1775112,363028,276715,67.84,2024-08-01,2024-08-05,2,4,7,2.23
5624473,176588,238110,24.35,2024-02-19,2024-02-22,1,5,6,2.81
2519520,140937,282727,80.66,2024-01-07,2024-01-13,1,5,6,7.57
2677495,674253,268390,38.35,2024-05-08,2024-05-14,1,2,3,2.61
3859263,176588,216502,37.7,2024-01-02,2024-01-07,1,2,2,8.6
1522226,328815,272554,25.39,2024-02-10,2024-02-12,3,5,6,3.35
9742316,328815,202876,18.56,2024-02-22,2024-02-28,1,1,7,7.6
3033026,547239,240107,22.96,2024-03-24,2024-03-27,1,1,6,5.46
5534359,938521,222301,49.9,2024-06-23,2024-06-30,1,1,7,3.66
9307001,360610,210380,78.6,2024-11-07,2024-11-14,1,5,1,6.26
4700223,307937,291130,49.83,2024-03-15,2024-03-22,1,2,4,7.56
3197951,562958,263554,26.2,2024-06-06,2024-06-07,2,1,3,8.04
8055713,328815,210288,18.97,2024-11-27,2024-11-29,1,1,7,8.9
7323033,360610,295911,63.57,2024-04-05,2024-04-12,1,5,6,9.71
7715035,176588,278028,32.72,2024-07-16,2024-07-17,1,3,4,8.77
3816841,512461,220513,17.92,2024-01-31,2024-02-07,2,1,2,0.89
4691712,363028,208528,78.71,2024-02-07,2024-02-10,1,5,4,5.66
5455282,313802,289125,43.14,2024-01-30,2024-02-03,2,2,2,2.34
6745431,140937,281048,50.67,2024-04-01,2024-04-04,1,3,4,0.72
1106142,924197,219665,66.45,2024-01-31,2024-02-01,1,1,2,5.78
7700951,924197,241244,57.75,2024-05-24,2024-05-26,1,3,5,8.07
2987910,363028,259182,52.57,2024-03-04,2024-03-09,1,3,2,9.19
8434207,381632,202576,29.14,2024-02-12,2024-02-18,1,2,5,7.77
7773662,512461,231416,17.83,2024-05-25,2024-05-28,1,3,3,3.84
2246931,307937,207987,44.03,2024-03-31,2024-04-02,1,1,6,7.58
7879259,547239,230501,31.61,2025-02-10,2025-02-16,1,1,1,1.76
8931397,360610,212863,43.46,2024-02-08,2024-02-12,1,5,3,7.81
6674265,512461,220513,16.94,2024-04-17,2024-04-21,1,4,5,6.28
8121592,307937,288695,57.67,2024-05-08,2024-05-14,3,4,6,5.22
3336252,924197,298244,62.94,2024-03-14,2024-03-18,1,4,3,5.75
9108580,307937,285676,54.76,2024-05-08,2024-05-10,1,1,3,8.09
7098456,674253,279288,38.77,2024-03-24,2024-03-27,1,4,5,7.66
1186945,360610,200199,61.7,2024-02-04,2024-02-06,3,3,1,4.96
7657852,176588,233365,25.94,2024-03-08,2024-03-10,1,4,7,6.82
7478262,328815,215076,35.43,2024-03-15,2024-03-21,1,1,6,9.25
5885495,492904,208565,16.99,2024-04-18,2024-04-23,2,1,7,1.0
7511584,924197,243047,63.08,2024-02-01,2024-02-06,3,4,5,2.83
4097141,176588,283950,23.75,2024-02-20,2024-02-23,2,3,5,9.36
2404426,360610,295592,84.83,2024-01-17,2024-01-23,1,5,4,5.92
8656434,512461,279489,19.33,2024-04-11,2024-04-16,1,1,1,6.56
4984452,363028,250728,50.25,2024-05-12,2024-05-16,1,2,5,7.6
2329932,674253,284893,26.38,2024-02-07,2024-02-12,1,3,3,7.98
1955164,140937,268820,54.31,2024-02-05,2024-02-09,1,3,2,9.13
6666888,938521,200078,62.43,2024-01-11,2024-01-14,1,2,7,2.07
8325828,307937,248659,63.27,2024-07-11,2024-07-13,3,2,2,6.44
5727053,381632,227875,15.43,2024-05-12,2024-05-14,1,4,6,2.41
5579577,492904,295166,17.32,2024-05-07,2024-05-12,1,1,7,4.46
3886102,360610,217190,72.27,2024-07-06,2024-07-10,1,3,1,1.32
1775497,328815,202606,23.16,2024-07-03,2024-07-04,1,3,2,9.58
3386411,360610,286336,84.65,2024-06-02,2024-06-09,1,2,7,4.41
5049532,381632,264307,31.65,2024-02-22,2024-02-23,1,1,6,7.37
2095978,360610,279154,42.75,2024-08-15,2024-08-22,1,1,5,6.27
2087779,381632,283927,20.58,2024-01-03,2024-01-04,1,2,7,9.01
9326007,140937,207104,55.32,2024-04-12,2024-04-14,2,4,7,4.5
8188204,924197,259851,81.57,2024-07-11,2024-07-17,2,5,6,7.81
3861482,176588,285019,42.69,2024-02-15,2024-02-17,3,2,1,9.4
9244279,512461,246624,16.66,2024-01-19,2024-01-26,2,2,3,5.74
5905099,562958,243183,18.59,2024-06-01,2024-06-07,1,3,4,4.29
8228262,363028,280130,46.99,2024-01-31,2024-02-04,2,4,5,0.04
3089728,328815,214571,23.29,2024-01-05,2024-01-10,1,2,4,2.37
8879252,313802,262314,27.42,2024-04-01,2024-04-02,1,1,1,8.97
2442537,307937,292221,53.07,2024-01-16,2024-01-20,1,2,7,3.64
4191379,547239,246335,29.08,2024-05-25,2024-05-29,1,2,6,1.09
2628874,512461,267677,13.2,2024-01-05,2024-01-10,1,2,5,8.85
7743350,492904,261859,25.81,2024-07-15,2024-07-19,3,4,3,2.25
6688970,492904,202449,16.54,2024-02-07,2024-02-12,1,1,3,1.57
7769540,674253,264633,28.37,2024-11-17,2024-11-20,1,3,2,3.74
3534653,363028,275059,64.44,2024-01-13,2024-01-18,2,4,5,6.08
9318975,492904,296101,16.3,2024-05-05,2024-05-12,1,4,2,4.33
7567790,562958,216327,14.46,2024-02-16,2024-02-17,1,1,2,8.09
5107962,360610,243537,37.4,2025-05-05,2025-05-11,1,3,4,8.7
